cai 	1	139
de 	1	45
san 	1	32
la 	1	26
cai puertu 	2	23
puertu 	1	23
camín 	1	22
del 	1	20
de san 	2	20
valdés 	1	19
camín de 	2	13
ca 	1	13
de la 	2	12
sanz crespo 	2	12
cai sanz crespo 	3	12
cai sanz 	2	12
sanz 	1	12
crespo 	1	12
san llorienzu 	2	10
muro de 	2	10
cai marqués de san 	4	10
cai marqués 	2	10
san esteban 	2	10
cai marqués de san esteban 	5	10
del muro 	2	10
marqués 	1	10
marqués de san esteban 	4	10
paséu del muro 	3	10
paséu 	1	10
muro 	1	10
del muro de san llorienzu 	5	10
pola 	1	10
paséu del muro de 	4	10
marqués de 	2	10
de san esteban 	3	10
llorienzu 	1	10
campu 	1	10
campu valdés 	2	10
del muro de 	3	10
paséu del muro de san 	5	10
muro de san 	3	10
paséu del 	2	10
de san llorienzu 	3	10
cai marqués de 	3	10
marqués de san 	3	10
esteban 	1	10
del muro de san 	4	10
muro de san llorienzu 	4	10
cai palacio valdés 	3	9
palacio 	1	9
palacio valdés 	2	9
pedro 	1	9
cai palacio 	2	9
mariano 	1	8
sentíu 	1	8
cai mariano pola 	3	8
cai mariano 	2	8
mariano pola 	2	8
poncebos-sotres 	1	7
lluanco 	1	7
camín de la 	3	7
álvarez 	1	7
salida sentíu 	2	6
del charcu 	2	6
sentíu tremañes 	2	6
garaya 	1	6
cai álvarez 	2	6
corrida 	1	6
cai álvarez garaya 	3	6
álvarez garaya 	2	6
salida 	1	6
cai la 	2	6
cai corrida 	2	6
salida sentíu tremañes 	3	6
candás 	1	6
camín del 	2	6
charcu 	1	6
tremañes 	1	6
camín del charcu 	3	6
cai rodriguez 	2	5
cai llanes 	2	5
cai felipe 	2	5
conceyu 	1	5
felipe 	1	5
san pedro 	2	5
cai felipe menéndez 	3	5
rodriguez san pedro 	3	5
cai rodriguez san 	3	5
cai puertu somiéu 	3	5
cai rodriguez san pedro 	4	5
maría 	1	5
accesu 	1	5
somiéu 	1	5
menéndez 	1	5
rodriguez san 	2	5
felipe menéndez 	2	5
casa 	1	5
organización 	1	5
puertu somiéu 	2	5
rodriguez 	1	5
llanes 	1	5
