thimphu 	1	67
lam 	1	56
of 	1	35
expressway 	1	33
thimphu expressway 	2	33
colony 	1	31
pension 	1	30
to 	1	30
school 	1	29
to phuentsholing highway 	3	26
phuentsholing 	1	26
thimphu to 	2	26
phuentsholing highway 	2	26
highway 	1	26
thimphu to phuentsholing highway 	4	26
thimphu to phuentsholing 	3	26
to phuentsholing 	2	26
pension colony 	2	25
and 	1	17
chorten 	1	15
road 	1	13
secondary 	1	13
secondary school 	2	13
bhutan 	1	13
lhakhang 	1	13
chang lam 	2	12
block 	1	12
science 	1	12
chang 	1	12
medical 	1	12
college of medical 	3	11
college 	1	11
medical science 	2	11
college of 	2	11
of medical 	2	11
college of medical science 	4	11
of medical science 	3	11
office 	1	10
dzong 	1	10
farm 	1	9
higher secondary school 	3	9
higher secondary 	2	9
farm road 	2	9
higher 	1	9
thori 	1	8
building 	1	8
thori lam 	2	8
mothithang 	1	7
rba 	1	7
department of 	2	7
parking 	1	7
department 	1	7
station 	1	7
bank 	1	7
development 	1	6
of bhutan 	2	6
ministry 	1	6
youth 	1	6
rba colony 	2	6
house 	1	6
cafe 	1	6
ministry of 	2	6
class 	1	5
chogyal lam 	2	5
samten 	1	5
pension building 	2	5
samten lam 	2	5
chogyal 	1	5
