rathad 	1	219
an 	1	167
na 	1	151
a 	1	148
sràid 	1	84
slighe 	1	56
rathad an 	2	35
ionad 	1	33
nan 	1	25
craobhraid 	1	22
chùil 	1	21
sràid na 	2	20
rathad a 	2	20
achadh 	1	20
cearn 	1	19
barraid 	1	19
rathad na 	2	18
cnoc 	1	18
sealladh 	1	17
mhuilinn 	1	17
bealach 	1	17
pairc 	1	17
drochaid 	1	17
cùirt 	1	16
allt 	1	16
bruthach 	1	16
chùil daothail 	2	15
daothail 	1	15
rathad chùil 	2	14
allt a 	2	14
mara 	1	14
na mara 	2	14
sràid a 	2	13
ceàrn 	1	13
bhaile 	1	12
pàirc 	1	12
rathad achadh 	2	12
sràid an 	2	12
chrùin 	1	12
rathad allt 	2	12
rathad allt a 	3	12
loch 	1	11
sraid 	1	11
slighe a 	2	11
achadh na 	2	11
chaisteil 	1	11
seann 	1	11
dhun 	1	10
bun-sgoil 	1	10
ceum 	1	10
rathad dhun chailleann 	3	10
nam 	1	10
corran 	1	10
rathad dhun 	2	10
chailleann 	1	10
dhun chailleann 	2	10
achadh na mara 	3	10
carn 	1	9
rìgh 	1	9
h-eaglais 	1	9
sgoil 	1	9
na h-eaglais 	2	9
caolraid 	1	9
rathad achadh na 	3	9
rathad achadh na mara 	4	9
àrd-shràid 	1	8
bhucht 	1	8
sràid na h-acadamaidh 	3	8
bruthach na 	2	8
na h-acadamaidh 	2	8
rathad pheairt 	2	8
h-acadamaidh 	1	8
baile 	1	8
seann rathad pheairt 	3	8
na drochaid 	2	8
pheart 	1	8
an tùir 	2	8
easbaig 	1	8
an easbaig 	2	8
gàrradh 	1	8
pheairt 	1	8
rathad chùil daothail 	3	8
rathad pheart 	2	8
choinnich 	1	8
seann rathad 	2	8
tùir 	1	8
leacainn 	1	7
rathad an tùir 	3	7
stèisein 	1	7
nis 	1	7
rathad nan 	2	7
shràid 	1	7
sgoile 	1	7
na leacainn 	2	7
sealladh an 	2	7
an stèisein 	2	7
ceàrnag 	1	7
sealladh an easbaig 	3	7
doire 	1	6
ard 	1	6
burnett 	1	6
rathad asainte 	2	6
taigh 	1	6
ròsaich 	1	6
rathaid 	1	6
craobhraid chùil daothail 	3	6
baile na 	2	6
sràid an ròsaich 	3	6
bunsgoil 	1	6
slighe an 	2	6
an àrd-shràid 	2	6
an ròsaich 	2	6
beinn 	1	6
asainte 	1	6
cheann 	1	6
mor 	1	6
bhrusaich 	1	6
rathad burnett 	2	6
sràid choinnich 	2	6
mhansa 	1	6
craobhraid chùil 	2	6
craobhraid a 	2	5
eilean 	1	5
valery 	1	5
chùil na cabaig 	3	5
na beithich 	2	5
rathad nan eilean 	3	5
na cabaig 	2	5
nan eilean 	2	5
rathad doire 	2	5
doire nam 	2	5
longman 	1	5
creag 	1	5
slighe mhicphàrlan 	2	5
rathad doire nam 	3	5
rathad chùil na 	3	5
doire nam bochd 	3	5
braigh 	1	5
cabaig 	1	5
ach 	1	5
inbhir 	1	5
àird 	1	5
ceum nis 	2	5
achadh an 	2	5
dala 	1	5
an longman 	2	5
rathad doire nam bochd 	4	5
chùil na 	2	5
rathaid na 	2	5
chladaich 	1	5
leabharlann 	1	5
lanaig 	1	5
slighe an longman 	3	5
na coille 	2	5
mhicphàrlan 	1	5
na dala 	2	5
bochd 	1	5
ceann 	1	5
coille 	1	5
rathad chùil na cabaig 	4	5
st. valery 	2	5
bruthach na beithich 	3	5
rathaid na leacainn 	3	5
straid 	1	5
braigh na dala 	3	5
st. 	1	5
nam bochd 	2	5
braigh na 	2	5
beithich 	1	5
baile na h-eaglais 	3	5
aite 	1	5
