уынг 	1	360
проспект 	1	59
къостайы 	1	55
къостайы проспект 	2	43
кировы 	1	30
кировы уынг 	2	29
фæндаг 	1	28
арвыкомы 	1	25
арвыкомы фæндаг 	2	25
скъола 	1	22
ленины 	1	21
ленины уынг 	2	21
доваторы проспект 	2	11
къостайы уынг 	2	11
доваторы 	1	11
хетæгкаты 	1	11
рæвдауæндон 	1	11
афтек 	1	11
сталины 	1	9
чапаевы 	1	9
сталины уынг 	2	9
чапаевы уынг 	2	9
уалдзыгон уынг 	2	8
байаты 	1	8
уалдзыгон 	1	8
комсомолы 	1	7
комсомолы уынг 	2	7
хетæгкаты къостайы 	2	7
калинины 	1	7
калинины уынг 	2	7
паддзахадон 	1	6
маяковскийы уынг 	2	6
маркусы 	1	6
æфсымæрты 	1	6
маяковскийы 	1	6
маркусы уынг 	2	6
хетæгкаты къостайы уынг 	3	6
æфсымæрты уынг 	2	6
мæскуыйы 	1	6
санахъоты 	1	5
мæскуыйы уынг 	2	5
октябры уынг 	2	5
октябры 	1	5
университет 	1	5
сомихæгты уынг 	2	5
гагарины 	1	5
сомихæгты 	1	5
ирæтты 	1	5
паддзахадон университет 	2	5
васойы 	1	5
васойы уынг 	2	5
гагарины уынг 	2	5
ирæтты уынг 	2	5
коцойты 	1	5
