phrase	length	count
சாலை 	1	152
தெரு 	1	28
கோயில் 	1	24
மேட்டுப்பாளையம் 	1	20
பள்ளி 	1	18
கல்லூரி 	1	17
வீதி 	1	15
காரமடை 	1	12
நிலையம் 	1	11
ரோடு 	1	11
மருத்துவமனை 	1	10
அரசு 	1	10
ஸ்ரீ 	1	9
gh சாலை 	2	8
சுவாமி 	1	8
gh 	1	8
வெள்ளியங்காடு 	1	8
கோவில் 	1	8
சிவானந்தா 	1	8
மேட்டுப்பாளையம் ரோடு 	2	8
முத்துசுவாமி 	1	7
மற்றும் 	1	7
முத்துசுவாமி சாலை 	2	6
ராஜாஜி 	1	6
பெருமாள் 	1	6
எஸ் 	1	6
வெள்ளியங்காடு சாலை 	2	6
பாடசாலை 	1	6
நாமக்கல் 	1	6
ஆர் 	1	6
அரசினர் 	1	6
சுவாமி சிவானந்தா 	2	6
மேல்நிலைப் பள்ளி 	2	6
சிவானந்தா சாலை 	2	6
மோகனூர் 	1	6
மேல்நிலைப் 	1	6
சுவாமி சிவானந்தா சாலை 	3	6
பல்கலைக்கழகம் 	1	6
மெட்ரிக் 	1	6
ராஜாஜி சாலை 	2	6
பேருந்து நிலையம் 	2	5
மேட்டுப்பாளையம் சாலை 	2	5
காரமடை வெள்ளியங்காடு சாலை 	3	5
ராசப்பா செட்டி தெரு 	3	5
செட்டி 	1	5
பெருமாள் கோயில் 	2	5
பேருந்து 	1	5
அவிநாசி 	1	5
செட்டி தெரு 	2	5
வி 	1	5
பல்லவன் சாலை 	2	5
காவல் நிலையம் 	2	5
தொழில்நுட்பக் கல்லூரி 	2	5
பஜார் 	1	5
கிளை 	1	5
ராசப்பா 	1	5
மேனிலைப்பள்ளி 	1	5
வங்கி 	1	5
காரமடை வெள்ளியங்காடு 	2	5
பல்லவன் 	1	5
டாக்டர் 	1	5
காவல் 	1	5
பஜார் சாலை 	2	5
தொழில்நுட்பக் 	1	5
கோயில் 	1	5
நூலகம் 	1	5
அவிநாசி சாலை 	2	5
ராசப்பா செட்டி 	2	5
